longitude,latitude,TP
112.9635000,26.72922222,0.8
112.9716389,26.75252778,0.87
112.9832222,26.7695,1.07
112.9707778,26.77605556,0.51
112.9650556,26.77541667,0.92
113.0103889,26.72244444,0.68
113.0171944,26.71833333,0.92
113.0343611,26.70397222,1.12
113.0458333,26.70663889,0.96
113.0250278,26.70452778,1.01
112.9981667,26.71983333,0.93
113.0121944,26.73072222,0.82
113.0208056,26.73605556,1.11
113.0404444,26.73613889,0.74
113.0545833,26.73008333,0.98
113.0609722,26.72125,0.82
112.9153611,26.72616667,0.84
112.9269167,26.73638889,0.74
112.8982500,26.73686111,0.71
113.0259722,26.74977778,1.14
113.0158056,26.76347222,1.11
113.0188611,26.77261111,0.94
113.0293333,26.78919444,0.43
113.0461944,26.7705,1.04
113.0782222,26.77138889,0.66
113.0744722,26.74955556,0.87
113.1100278,26.73013889,0.5
113.0879722,26.72172222,0.67
113.0824167,26.71691667,1.03
112.9503333,26.66911111,1.13
112.9388056,26.6605,0.76
112.9304167,26.64563889,0.78
112.9445000,26.61752778,1.03
112.9180278,26.68013889,0.82
112.6843333,26.71647222,0.71
112.7182500,26.68419444,0.58
112.6770000,26.69202778,0.32
112.6835833,26.66458333,0.61
112.7037500,26.66505556,0.94
112.7024722,26.31972222,0.68
112.7176389,26.65919444,0.56
112.7176667,26.64336111,0.4
112.7445278,26.66111111,0.93
112.7567222,26.66341667,0.92
112.8026667,26.68811111,0.66
112.7821667,26.69419444,0.78
112.7825000,26.68908333,0.75
112.6697778,26.67911111,0.98
112.7411111,26.73444444,0.26
112.7253611,26.68108333,0.81
112.7153611,26.68019444,0.9
112.6988611,26.67683333,0.95
112.6723889,26.69277778,0.51
112.7163333,26.70655556,0.64
112.7848889,26.76497222,0.79
112.7826111,26.77966667,0.95
112.7640833,26.81308333,0.87
112.7504722,26.80461111,0.98
112.7745278,26.80838889,0.84
112.7784722,26.80533333,0.78
112.7794722,26.80394444,0.83
112.7856111,26.80522222,0.7
112.7850833,26.81169444,0.81
112.7896389,26.81277778,0.9
112.7985556,26.80938889,0.78
112.7580000,26.70355556,0.73
112.8316944,26.69761111,0.66
112.8360556,26.69719444,0.72
112.8418889,26.69855556,0.62
112.8406111,26.72802778,0.7
112.8339444,26.74513889,0.93
112.9120000,26.75372222,1.12
112.9266389,26.75002778,0.72
112.9214444,26.76419444,0.72
112.9048056,26.78430556,0.88
112.9181389,26.77780556,0.54
112.8635556,26.77205556,0.53
112.8876389,26.74305556,0.5
112.3808611,26.87175,0.95
112.8928611,26.88430556,0.89
112.3335278,26.82733333,0.61
112.3265556,26.792,0.79
112.3160278,26.743,0.55
112.3552778,26.92866667,1.14
112.3743333,26.84713889,0.81
112.3891389,26.84466667,0.96
112.8628611,26.81425,0.83
112.8705833,26.7995,0.54
112.8786111,26.7905,1.05
112.8683611,26.79916667,0.38
112.8754444,26.81913889,0.65
112.8840278,26.81097222,0.73
112.8935556,26.75416667,0.66
112.8890556,26.83175,0.6
112.9049722,26.82219444,0.65
112.8935278,26.88183333,0.65
112.9453889,26.87505556,0.72
112.9519167,26.85986111,0.97
112.8062222,26.87530556,0.51
113.0231667,26.67036111,0.94
113.0408056,26.67927778,0.91
113.0523611,26.69511111,1.01
113.0830278,26.68525,1.24
113.1083056,26.66486111,1.42
113.1137222,26.69688889,0.68
113.0960556,26.664,0.99
113.0797222,26.64927778,0.83
113.0752778,26.65361111,1.27
113.0680556,26.65422222,1.18
113.0494167,26.65994444,1.39
113.3660278,26.66541667,1.28
112.9931667,26.64875,0.88
112.9932778,26.65769444,1.05
112.9864167,26.67891667,0.64
112.9687500,26.69669444,0.75
112.9936944,26.69561111,0.6
112.9976667,26.65702778,1.02
113.0010556,26.67363889,0.89
112.9812500,26.62369444,0.95
112.7046111,26.36347222,0.88
112.7097778,26.32430556,0.95
112.7327778,26.37338889,0.82
112.8390278,26.27591667,0.86
112.8144722,26.28597222,1.1
112.7219722,26.42708333,1.1
